iter	Passed	Remaining
330	7394	14944
331	7405	14899
332	7430	14882
333	7454	14864
334	7477	14843
335	7503	14828
336	7534	14823
337	7564	14815
338	7582	14784
339	7599	14752
340	7611	14710
341	7624	14669
342	7636	14627
343	7648	14585
344	7660	14544
345	7671	14500
346	7681	14456
347	7693	14414
348	7703	14370
349	7714	14326
350	7725	14284
351	7737	14243
352	7755	14214
353	7775	14189
354	7795	14164
355	7812	14133
356	7827	14097
357	7840	14059
358	7852	14021
359	7865	13982
360	7878	13945
361	7891	13908
362	7903	13869
363	7913	13826
364	7926	13790
365	7937	13749
366	7947	13708
367	7958	13667
368	7969	13628
369	7979	13587
370	7990	13546
371	8001	13507
372	8011	13467
373	8022	13428
374	8032	13388
375	8043	13348
376	8053	13309
377	8079	13294
378	8089	13255
379	8100	13216
380	8112	13180
381	8122	13140
382	8133	13102
383	8146	13067
384	8164	13042
385	8185	13020
386	8209	13003
387	8235	12989
388	8259	12973
389	8282	12955
390	8310	12943
391	8326	12914
392	8338	12879
393	8353	12848
394	8371	12822
395	8384	12788
396	8398	12756
397	8410	12721
398	8420	12684
399	8430	12646
400	8441	12610
401	8452	12574
402	8462	12536
403	8473	12500
404	8485	12466
405	8496	12431
406	8510	12399
407	8523	12367
408	8538	12337
409	8550	12304
410	8560	12268
411	8573	12236
412	8587	12205
413	8599	12172
414	8612	12141
415	8625	12108
416	8638	12077
417	8650	12044
418	8662	12011
419	8675	11980
420	8689	11951
421	8705	11923
422	8719	11893
423	8731	11861
424	8744	11831
425	8757	11799
426	8769	11767
427	8782	11736
428	8794	11704
429	8806	11673
430	8817	11640
431	8827	11606
432	8838	11573
433	8848	11540
434	8859	11507
435	8869	11473
436	8879	11440
437	8894	11413
438	8907	11382
439	8918	11350
440	8930	11320
441	8947	11295
442	8961	11267
443	8978	11243
444	8990	11213
445	9001	11180
446	9011	11148
447	9021	11116
448	9032	11084
449	9041	11051
450	9053	11020
451	9066	10992
452	9079	10963
453	9097	10940
454	9110	10912
455	9125	10886
456	9145	10866
457	9157	10836
458	9169	10807
459	9181	10778
460	9194	10750
461	9208	10723
462	9219	10693
463	9230	10662
464	9240	10631
465	9250	10600
466	9260	10569
467	9271	10538
468	9281	10508
469	9295	10482
470	9308	10454
471	9323	10429
472	9333	10398
473	9343	10368
474	9353	10338
475	9364	10308
476	9375	10279
477	9385	10249
478	9397	10221
479	9407	10191
480	9417	10161
481	9427	10131
482	9438	10102
483	9448	10072
484	9458	10043
485	9468	10014
486	9480	9986
487	9493	9959
488	9504	9931
489	9516	9905
490	9532	9881
491	9545	9856
492	9558	9830
493	9571	9803
494	9585	9779
495	9597	9752
496	9610	9726
497	9623	9700
498	9636	9674
499	9650	9650
500	9663	9624
501	9675	9598
502	9691	9576
503	9704	9550
504	9716	9524
505	9731	9501
506	9749	9480
507	9761	9453
508	9772	9426
509	9784	9400
510	9800	9378
511	9813	9353
512	9826	9328
513	9838	9302
514	9850	9276
515	9862	9250
516	9874	9225
517	9893	9205
518	9907	9182
519	9924	9160
520	9941	9139
521	9952	9113
522	9963	9087
523	9974	9060
524	9984	9033
525	9995	9007
526	10005	8980
527	10015	8953
528	10031	8931
529	10044	8907
530	10057	8883
531	10069	8858
532	10087	8838
533	10105	8818
534	10122	8798
535	10147	8784
536	10161	8761
537	10179	8741
538	10192	8717
539	10204	8692
540	10216	8667
541	10227	8642
542	10239	8617
543	10249	8591
544	10261	8566
545	10273	8542
546	10283	8516
547	10295	8491
548	10311	8470
549	10323	8446
550	10333	8420
551	10344	8395
552	10357	8372
553	10370	8348
554	10382	8324
555	10394	8300
556	10408	8277
557	10420	8254
558	10432	8230
559	10445	8207
560	10458	8184
561	10475	8164
562	10490	8142
563	10502	8118
564	10512	8094
565	10524	8069
566	10540	8049
567	10551	8025
568	10561	8000
569	10571	7975
570	10582	7950
571	10593	7926
572	10605	7902
573	10615	7878
574	10626	7854
575	10636	7829
576	10647	7805
577	10658	7781
578	10670	7758
579	10683	7736
580	10699	7716
581	10723	7702
582	10740	7682
583	10754	7660
584	10769	7639
585	10781	7617
586	10796	7595
587	10808	7573
588	10821	7551
589	10833	7528
590	10843	7504
591	10855	7481
592	10869	7460
593	10880	7436
594	10892	7414
595	10914	7398
596	10926	7376
597	10936	7352
598	10947	7328
599	10959	7306
600	10969	7282
601	10980	7259
602	10992	7236
603	11002	7213
604	11012	7189
605	11023	7167
606	11035	7144
607	11044	7121
608	11057	7099
609	11070	7077
610	11082	7055
611	11101	7037
612	11114	7017
613	11127	6995
614	11139	6973
615	11152	6952
616	11167	6932
617	11180	6910
618	11193	6889
619	11205	6867
620	11217	6845
621	11229	6824
622	11241	6802
623	11254	6781
624	11267	6760
625	11280	6739
626	11293	6718
627	11303	6695
628	11314	6673
629	11324	6651
630	11334	6628
631	11344	6605
632	11355	6583
633	11366	6561
634	11377	6540
635	11390	6519
636	11402	6497
637	11413	6476
638	11424	6453
639	11435	6432
640	11448	6411
641	11458	6389
642	11470	6368
643	11488	6350
644	11502	6330
645	11515	6310
646	11528	6289
647	11540	6269
648	11554	6249
649	11567	6228
650	11582	6209
651	11594	6188
652	11608	6168
653	11620	6147
654	11636	6129
655	11646	6107
656	11660	6087
657	11678	6069
658	11689	6048
659	11701	6027
660	11711	6006
661	11721	5984
662	11735	5964
663	11745	5943
664	11756	5922
665	11766	5901
666	11780	5881
667	11792	5860
668	11802	5839
669	11814	5819
670	11827	5799
671	11839	5778
672	11853	5759
673	11864	5738
674	11877	5718
675	11888	5698
676	11899	5677
677	11910	5656
678	11920	5635
679	11930	5614
680	11940	5593
681	11950	5572
682	11962	5552
683	11975	5532
684	11990	5513
685	12003	5494
686	12015	5474
687	12032	5456
688	12045	5436
689	12057	5416
690	12071	5398
691	12090	5381
692	12103	5361
693	12115	5342
694	12128	5322
695	12138	5301
696	12149	5281
697	12160	5261
698	12170	5240
699	12181	5220
700	12192	5200
701	12203	5180
702	12215	5160
703	12228	5141
704	12239	5121
705	12251	5102
706	12265	5083
707	12278	5063
708	12297	5047
709	12309	5027
710	12319	5007
711	12330	4987
712	12340	4967
713	12350	4947
714	12359	4926
715	12370	4906
716	12380	4886
717	12390	4866
718	12401	4846
719	12414	4827
720	12425	4808
721	12438	4789
722	12463	4775
723	12475	4755
724	12489	4737
725	12502	4718
726	12516	4700
727	12529	4681
728	12541	4662
729	12554	4643
730	12566	4624
731	12579	4605
732	12592	4586
733	12605	4568
734	12617	4549
735	12632	4531
736	12650	4514
737	12662	4495
738	12673	4476
739	12684	4456
740	12695	4437
741	12706	4418
742	12718	4399
743	12730	4380
744	12741	4361
745	12752	4342
746	12763	4322
747	12774	4303
748	12784	4284
749	12796	4265
750	12807	4246
751	12819	4227
752	12833	4209
753	12843	4190
754	12855	4171
755	12865	4152
756	12876	4133
757	12886	4114
758	12897	4095
759	12907	4076
760	12918	4057
761	12929	4038
762	12940	4019
763	12951	4000
764	12962	3982
765	12973	3963
766	12985	3944
767	12997	3926
768	13014	3909
769	13027	3891
770	13041	3873
771	13054	3855
772	13066	3837
773	13080	3819
774	13092	3801
775	13105	3782
776	13117	3764
777	13129	3746
778	13144	3728
779	13157	3710
780	13170	3693
781	13180	3674
782	13191	3655
783	13205	3638
784	13217	3620
785	13229	3601
786	13241	3583
787	13252	3565
788	13262	3546
789	13272	3528
790	13283	3509
791	13294	3491
792	13304	3473
793	13315	3454
794	13326	3436
795	13337	3418
796	13348	3399
797	13358	3381
798	13371	3363
799	13382	3345
800	13393	3327
801	13406	3309
802	13419	3292
803	13429	3273
804	13440	3255
805	13451	3237
806	13461	3219
807	13471	3201
808	13481	3182
809	13492	3164
810	13502	3146
811	13513	3128
812	13523	3110
813	13535	3092
814	13545	3074
815	13556	3056
816	13569	3039
817	13582	3022
818	13608	3007
819	13621	2990
820	13635	2972
821	13647	2955
822	13661	2938
823	13674	2920
824	13686	2903
825	13699	2885
826	13717	2869
827	13730	2852
828	13742	2834
829	13752	2816
830	13764	2799
831	13774	2781
832	13786	2763
833	13798	2746
834	13812	2729
835	13824	2711
836	13848	2696
837	13859	2679
838	13870	2661
839	13880	2643
840	13890	2626
841	13900	2608
842	13910	2590
843	13921	2573
844	13932	2555
845	13942	2538
846	13954	2520
847	13964	2503
848	13976	2485
849	13990	2468
850	14002	2451
851	14012	2434
852	14024	2416
853	14034	2399
854	14045	2381
855	14056	2364
856	14066	2347
857	14077	2329
858	14088	2312
859	14098	2295
860	14109	2277
861	14119	2260
862	14129	2243
863	14144	2226
864	14160	2210
865	14183	2194
866	14202	2178
867	14215	2161
868	14228	2144
869	14244	2128
870	14257	2111
871	14270	2094
872	14283	2077
873	14293	2060
874	14304	2043
875	14314	2026
876	14324	2009
877	14337	1992
878	14350	1975
879	14360	1958
880	14371	1941
881	14383	1924
882	14397	1907
883	14408	1890
884	14419	1873
885	14429	1856
886	14440	1839
887	14450	1822
888	14461	1805
889	14474	1788
890	14484	1771
891	14494	1754
892	14504	1737
893	14514	1721
894	14525	1704
895	14536	1687
896	14549	1670
897	14559	1653
898	14575	1637
899	14590	1621
900	14601	1604
901	14612	1587
902	14622	1570
903	14632	1553
904	14645	1537
905	14655	1520
906	14665	1503
907	14675	1486
908	14686	1470
909	14697	1453
910	14710	1437
911	14721	1420
912	14731	1403
913	14745	1387
914	14755	1370
915	14767	1354
916	14784	1338
917	14797	1321
918	14812	1305
919	14825	1289
920	14840	1272
921	14855	1256
922	14867	1240
923	14880	1223
924	14892	1207
925	14905	1191
926	14917	1174
927	14931	1158
928	14945	1142
929	14956	1125
930	14968	1109
931	14995	1094
932	15010	1077
933	15021	1061
934	15033	1045
935	15044	1028
936	15054	1012
937	15066	995
938	15076	979
939	15087	963
940	15097	946
941	15108	930
942	15118	913
943	15129	897
944	15142	881
945	15155	865
946	15167	848
947	15179	832
948	15191	816
949	15201	800
950	15211	783
951	15221	767
952	15232	751
953	15243	735
954	15253	718
955	15264	702
956	15274	686
957	15285	670
958	15296	653
959	15307	637
960	15317	621
961	15330	605
962	15341	589
963	15353	573
964	15367	557
965	15376	541
966	15387	525
967	15397	509
968	15408	492
969	15418	476
970	15431	460
971	15444	444
972	15456	428
973	15468	412
974	15481	396
975	15494	381
976	15508	365
977	15520	349
978	15542	333
979	15557	317
980	15572	301
981	15589	285
982	15600	269
983	15611	253
984	15622	237
985	15632	221
986	15644	206
987	15655	190
988	15666	174
989	15677	158
990	15688	142
991	15701	126
992	15711	110
993	15722	94
994	15736	79
995	15748	63
996	15760	47
997	15775	31
998	15786	15
999	15797	0
