iter	RMSE
192	1.855977817
193	1.852818994
194	1.848778049
195	1.846865537
196	1.844061966
197	1.841497024
198	1.838543038
199	1.835302706
200	1.832233653
201	1.829600197
202	1.827909654
203	1.825160606
204	1.823120587
205	1.820445726
206	1.818626656
207	1.816884352
208	1.815116578
209	1.81185434
210	1.809861547
211	1.808167905
212	1.806304703
213	1.804401925
214	1.802147578
215	1.800297885
216	1.798354435
217	1.796688837
218	1.793269063
219	1.791485277
220	1.789179509
221	1.786822251
222	1.785176697
223	1.783199572
224	1.778899976
225	1.777215319
226	1.774780149
227	1.771914638
228	1.770150713
229	1.768451312
230	1.766912475
231	1.763173818
232	1.761353003
233	1.760713229
234	1.757176999
235	1.755390594
236	1.753638371
237	1.752381482
238	1.750749177
239	1.748393463
240	1.743012725
241	1.741927674
242	1.738068802
243	1.736168145
244	1.732219237
245	1.730567687
246	1.728673739
247	1.727043876
248	1.725599301
249	1.723252734
250	1.721850918
251	1.720382103
252	1.719025193
253	1.71753176
254	1.715691617
255	1.714380447
256	1.713084824
257	1.710846283
258	1.709303715
259	1.707943978
260	1.706858861
261	1.705489572
262	1.70179008
263	1.699904711
264	1.698515869
265	1.697423804
266	1.695986535
267	1.694722092
268	1.690861595
269	1.687694366
270	1.685741281
271	1.684356198
272	1.682745111
273	1.67901262
274	1.677694857
275	1.67654672
276	1.674651352
277	1.672601309
278	1.671566434
279	1.669416168
280	1.668072039
281	1.667081821
282	1.665731542
283	1.663659941
284	1.662614733
285	1.66100717
286	1.659833221
287	1.657985924
288	1.656942612
289	1.655398268
290	1.654075986
291	1.65203467
292	1.649559744
293	1.648427268
294	1.646808425
295	1.644864229
296	1.642671793
297	1.6410356
298	1.639983653
299	1.638175861
300	1.636240782
301	1.634284682
302	1.631807721
303	1.630980199
304	1.628523755
305	1.627274909
306	1.62649483
307	1.624967532
308	1.623734815
309	1.622188336
310	1.62015245
311	1.619561873
312	1.616676422
313	1.61520636
314	1.614063684
315	1.612608272
316	1.610540079
317	1.60941879
318	1.608467996
319	1.605316771
320	1.604095384
321	1.602703047
322	1.601584143
323	1.599680126
324	1.596960132
325	1.595888119
326	1.594327202
327	1.593085014
328	1.591417111
329	1.590129901
330	1.589375178
331	1.587694182
332	1.584285254
333	1.583255037
334	1.582109227
335	1.58045236
336	1.579365338
337	1.577460063
338	1.575751254
339	1.574823698
340	1.573811673
341	1.571369023
342	1.568451326
343	1.566043553
344	1.565219158
345	1.564188053
346	1.562274635
347	1.56107669
348	1.560330077
349	1.559031392
350	1.557616688
351	1.555447219
352	1.55437491
353	1.550686544
354	1.549312326
355	1.548326741
356	1.546742373
357	1.545706804
358	1.544265588
359	1.543235485
360	1.540992418
361	1.539160071
362	1.537187515
363	1.5361865
364	1.534835683
365	1.531929119
366	1.531051271
367	1.52961525
368	1.528089405
369	1.527081011
370	1.524899821
371	1.523771774
372	1.522960732
373	1.521716359
374	1.520823403
375	1.519508037
376	1.516009846
377	1.514750758
378	1.51292474
379	1.51171377
380	1.509356863
381	1.50864592
382	1.507123754
383	1.504663943
384	1.503872652
385	1.502479413
386	1.500890264
387	1.49932349
388	1.498360198
389	1.495294012
390	1.494459573
391	1.4936473
392	1.492859555
393	1.491990949
394	1.491534295
395	1.490373133
396	1.489148517
397	1.488318711
398	1.487639416
399	1.48711096
400	1.485706815
401	1.484915503
402	1.484129646
403	1.482889335
404	1.481286945
405	1.480379334
406	1.479691146
407	1.478513861
408	1.477909144
409	1.476170691
410	1.475528816
411	1.474738088
412	1.47389021
413	1.473289842
414	1.472441152
415	1.471312999
416	1.468451305
417	1.467201708
418	1.466598159
419	1.465720368
420	1.464924532
421	1.464350292
422	1.463649721
423	1.46304995
424	1.461818355
425	1.461217777
426	1.460159532
427	1.458975356
428	1.45798849
429	1.456788216
430	1.456103556
431	1.455095161
432	1.454386039
433	1.453024466
434	1.452236741
435	1.451476412
436	1.450675791
437	1.449974943
438	1.446420109
439	1.445743171
440	1.445279862
441	1.441815604
442	1.440888582
443	1.440182276
444	1.439517739
445	1.437542612
446	1.435690802
447	1.434449484
448	1.433857965
449	1.432874417
450	1.431526793
451	1.430634609
452	1.42826571
453	1.426574699
454	1.425834628
455	1.424602359
456	1.423996144
457	1.423062091
458	1.420854723
459	1.420243853
460	1.418216677
461	1.417448417
462	1.416372527
463	1.413947977
464	1.412583314
465	1.411737047
466	1.411028123
467	1.408681377
468	1.407794865
469	1.406485046
470	1.405711285
471	1.404611541
472	1.403778616
473	1.40285037
474	1.401229663
475	1.400585086
476	1.399570762
477	1.398585071
478	1.396013421
479	1.395384202
480	1.394838053
481	1.394302491
482	1.39356763
483	1.393087569
484	1.39209227
485	1.390914739
486	1.38996179
487	1.389203775
488	1.388483276
489	1.387492457
490	1.386288227
491	1.384267005
492	1.383196025
493	1.382700435
494	1.382075905
495	1.38023226
496	1.379703966
497	1.378803089
498	1.377765393
499	1.376873276
500	1.37582293
501	1.375254428
502	1.374081508
503	1.373518829
504	1.372367114
505	1.371517312
506	1.370922609
507	1.369246897
508	1.368449037
509	1.367201834
510	1.366668707
511	1.365926058
512	1.365466809
513	1.364632146
514	1.363669215
515	1.362959504
516	1.362490815
517	1.361983699
518	1.361252924
519	1.360187348
520	1.359490846
521	1.358657273
522	1.358137212
523	1.35746602
524	1.356840013
525	1.356450117
526	1.355764552
527	1.355212254
528	1.354133466
529	1.353107728
530	1.352267895
531	1.351528217
532	1.349993469
533	1.348753366
534	1.347972334
535	1.346200676
536	1.345017022
537	1.344523701
538	1.342673492
539	1.341746978
540	1.341095921
541	1.340398461
542	1.33965446
543	1.339019433
544	1.33826363
545	1.336591497
546	1.335390214
547	1.334987257
548	1.334510635
549	1.332997385
550	1.331840307
551	1.33024154
552	1.329399975
553	1.328477254
554	1.327972706
555	1.327005872
556	1.325599702
557	1.324715112
558	1.324082087
559	1.323570575
560	1.322325395
561	1.32126576
562	1.320815934
563	1.319734191
564	1.318942984
565	1.317317937
566	1.31676512
567	1.316147542
568	1.314926478
569	1.31436712
570	1.312242708
571	1.311644374
572	1.311143892
573	1.310660775
574	1.309458982
575	1.308940766
576	1.307780354
577	1.306748351
578	1.306292743
579	1.305804154
580	1.303627733
581	1.303205255
582	1.302558005
583	1.300943687
584	1.300111698
585	1.299164652
586	1.298516628
587	1.297303013
588	1.296447825
589	1.296052439
590	1.295265108
591	1.294356465
592	1.293539742
593	1.292435294
594	1.291465538
595	1.290748611
596	1.289915901
597	1.289264738
598	1.288750482
599	1.286999135
600	1.286458907
601	1.28503528
602	1.28460685
603	1.284045231
604	1.283066657
605	1.282581792
606	1.282261387
607	1.281715239
608	1.281345866
609	1.280063353
610	1.279629552
611	1.278253183
612	1.277690263
613	1.275922448
614	1.275489742
615	1.275006034
616	1.273794358
617	1.273233814
618	1.272140776
619	1.271396215
620	1.270097077
621	1.269066545
622	1.268582748
623	1.267541784
624	1.266935894
625	1.266388348
626	1.265753016
627	1.264877375
628	1.2641185
629	1.263497599
630	1.262567543
631	1.261112149
632	1.260246682
633	1.259608516
634	1.259058598
635	1.25848515
636	1.258011686
637	1.257577142
638	1.256632416
639	1.255693096
640	1.254436317
641	1.253676031
642	1.253060042
643	1.251372133
644	1.249573013
645	1.249195999
646	1.248783537
647	1.248155324
648	1.24749581
649	1.247030223
650	1.246535634
651	1.245624773
652	1.244489281
653	1.244068817
654	1.243387365
655	1.241891975
656	1.240649671
657	1.24011382
658	1.238964453
659	1.238531584
660	1.237388564
661	1.236457797
662	1.236083604
663	1.23521583
664	1.234691013
665	1.234204964
666	1.233807078
667	1.2334066
668	1.23283976
669	1.232105788
670	1.231496275
671	1.231042508
672	1.230486794
673	1.229682865
674	1.228814688
675	1.227884949
676	1.227525959
677	1.226962468
678	1.226360584
679	1.225800364
680	1.225290082
681	1.224350342
682	1.22381352
683	1.222201133
684	1.221433567
685	1.220761139
686	1.220042064
687	1.219526726
688	1.218789034
689	1.218212963
690	1.217496789
691	1.216796514
692	1.216304787
693	1.215791345
694	1.215075892
695	1.214150362
696	1.213337232
697	1.212844995
698	1.212387199
699	1.211802886
700	1.211386215
701	1.21092469
702	1.209685874
703	1.209071823
704	1.208743881
705	1.208035847
706	1.206145585
707	1.205393103
708	1.204978828
709	1.20446029
710	1.203945744
711	1.203077071
712	1.202460178
713	1.201926763
714	1.201517465
715	1.200833276
716	1.200075111
717	1.199560295
718	1.199111162
719	1.198340708
720	1.197893105
721	1.19724412
722	1.196496404
723	1.195710217
724	1.194632033
725	1.193528563
726	1.1931482
727	1.192773861
728	1.192233267
729	1.191635888
730	1.191062965
731	1.190713912
732	1.190206138
733	1.189233414
734	1.188045538
735	1.187058082
736	1.18650074
737	1.185358305
738	1.184457397
739	1.183206644
740	1.182584712
741	1.182153261
742	1.181797584
743	1.181416218
744	1.180819281
745	1.180199196
746	1.179856819
747	1.179334781
748	1.178782221
749	1.1784207
750	1.17810934
751	1.177621709
752	1.176956568
753	1.176470823
754	1.175638263
755	1.175110711
756	1.17425955
757	1.173383373
758	1.17271794
759	1.171929914
760	1.171542691
761	1.170727956
762	1.169331612
763	1.169005232
764	1.167908467
765	1.167378481
766	1.167055694
767	1.166312039
768	1.165910257
769	1.165083004
770	1.163473454
771	1.16254759
772	1.162276672
773	1.161818086
774	1.161022956
775	1.159410021
776	1.158953411
777	1.158683967
778	1.158296742
779	1.157845432
780	1.157311104
781	1.155839943
782	1.155630655
783	1.155040619
784	1.154172725
785	1.153372496
786	1.152430567
787	1.151894629
788	1.151449017
789	1.150832463
790	1.150381338
791	1.149841266
792	1.14838885
793	1.148085186
794	1.147569869
795	1.147091875
796	1.146497673
797	1.145982662
798	1.145480757
799	1.144985993
800	1.144407976
801	1.143350744
802	1.141954621
803	1.141136552
804	1.139557351
805	1.138982791
806	1.138709907
807	1.138396225
808	1.138072511
809	1.137476531
810	1.136499315
811	1.135921148
812	1.135603307
813	1.134677829
814	1.134093755
815	1.133774086
816	1.133550919
817	1.133014885
818	1.132616226
819	1.132201512
820	1.131197311
821	1.130837609
822	1.130125664
823	1.129637068
824	1.129095965
825	1.128492204
826	1.127608749
827	1.126603122
828	1.12578363
829	1.124857609
830	1.124388311
831	1.124057587
832	1.123740778
833	1.122624038
834	1.122361114
835	1.121784988
836	1.121463962
837	1.119955679
838	1.119447703
839	1.118657422
840	1.117920287
841	1.117302092
842	1.116845342
843	1.116603113
844	1.115246064
845	1.113837552
846	1.112937831
847	1.112498615
848	1.11207168
849	1.11184658
850	1.111420367
851	1.110703047
852	1.109519999
853	1.109149207
854	1.108880038
855	1.107655916
856	1.106914467
857	1.106631464
858	1.106396953
859	1.10488041
860	1.104631001
861	1.103369092
862	1.102803336
863	1.102603509
864	1.101586033
865	1.100640758
866	1.10029984
867	1.09977728
868	1.099210548
869	1.098586723
870	1.097829144
871	1.096993495
872	1.096091774
873	1.095642624
874	1.095016144
875	1.093824354
876	1.093255526
877	1.091871987
878	1.091421041
879	1.090802104
880	1.090313728
881	1.089639831
882	1.088993408
883	1.088342972
884	1.087965836
885	1.087596674
886	1.087165207
887	1.086652076
888	1.085889033
889	1.085202569
890	1.084649428
891	1.08408579
892	1.083352186
893	1.082716326
894	1.081992037
895	1.081474963
896	1.081210071
897	1.080655734
898	1.080101838
899	1.079726501
900	1.079197897
901	1.078538576
902	1.078289888
903	1.078064237
904	1.077576988
905	1.076991521
906	1.076657321
907	1.076198562
908	1.07577783
909	1.075201133
910	1.074882526
911	1.074439463
912	1.073764506
913	1.073261012
914	1.072502188
915	1.071911294
916	1.07165154
917	1.071324695
918	1.070648782
919	1.070234965
920	1.069879324
921	1.069483512
922	1.068553029
923	1.067653315
924	1.06711079
925	1.066469601
926	1.065959619
927	1.065512355
928	1.064553536
929	1.063337378
930	1.063024292
931	1.062696634
932	1.061601736
933	1.061218435
934	1.060672503
935	1.060349824
936	1.059881147
937	1.05947612
938	1.059127154
939	1.058842705
940	1.058576607
941	1.058108339
942	1.057909674
943	1.057500395
944	1.056860385
945	1.056370502
946	1.055996475
947	1.055744814
948	1.055334946
949	1.054969177
950	1.054677785
951	1.054197759
952	1.053977618
953	1.05346096
954	1.053076139
955	1.05284717
956	1.052607621
957	1.052168321
958	1.051617421
959	1.051150992
960	1.050511283
961	1.050161828
962	1.049466053
963	1.048912858
964	1.048257568
965	1.047835693
966	1.047354612
967	1.046734681
968	1.046237064
969	1.045704841
970	1.04548529
971	1.04418837
972	1.043844001
973	1.043396295
974	1.042640459
975	1.042174381
976	1.041245384
977	1.040794331
978	1.040442673
979	1.040161009
980	1.039897612
981	1.03924065
982	1.038710618
983	1.038344841
984	1.037781679
985	1.037347682
986	1.036413825
987	1.036198253
988	1.035420929
989	1.035024658
990	1.034371643
991	1.033918221
992	1.03359443
993	1.033009552
994	1.032638877
995	1.032325469
996	1.031987518
997	1.030840723
998	1.030503636
999	1.029256601
